State,Wheat,Rice,Maize,Bajra,Sugarcane,Groundnut,Rapeseed-Mustard,Arhar/Tur,Cotton,Total_Crops,Cattle Waste,Buffalo Waste,Total Animal biomass,,
Uttar Pradesh,65194.1,23005.1,3571.3,4656.6,8561.7,210.9,1751.9,903.6,20.45,107875.65,19019640,33016790,52036430,,District-wise Details of Livestock Population in Uttar Pradesh - 20th Livestock Census 2019 | Open Government Data (OGD) Platform India
MH,3048.1,4456,6231.7,1579.7,3433.8,843.1,6,2,18764.5,38364.9,4972969,4200000,9172969,,20th Livestock Census 2019 - RajRAS | RAS Exam Preparation
Haryana,20024.4,5985.5,57.5,2025.1,371.68,8.08,1518.33,26.5,3081.15,33098.24,1928682,4368023,6296705,,District-wise Details of Livestock Population in Haryana - 20th Livestock Census 2019 | Open Government Data (OGD) Platform India
Punjab,30925.8,18921.5,1013.15,10,366.22,5.6,81.45,12.07,1528.93,52864.72,"1,14,77,556","2,31,97,597",34675153,,Big worry as Punjab livestock population sees 5.78 lakh dip - The Tribune
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Sardar Swaran Singh National Institute Of Bio-Energy,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
